kreis,zone,personen,arbeidsinzet,overlijden,medisch,huwelijk,geboorte,lat,lon,top_herkomst_nl
Neustadt An Der Waldnaab,Amerikaanse,48,48,0,0,0,0,49.73099,12.1725,Amsterdam (6); Sneek (4); Schiedam (3)
Annaberg,Russische,48,48,0,0,0,0,47.83585,9.66199,Schiedam (3); Hilversum (3); Enschede (3)
Kronach,Amerikaanse,48,48,0,0,0,0,50.24841,11.31321,Rotterdam (6); Amsterdam (6); Linden (5)
Wegscheid,Amerikaanse,47,47,0,0,0,0,48.60115,13.78686,Amsterdam (15); Houten (3); Utrecht (1)
Suderdithmarschen,Engelse,46,46,0,0,0,0,54.17478,9.09189,Wormerveer (7); Rotterdam (4); Weesp (3)
Kehl,Franse,46,46,0,0,0,0,48.5734,7.8114,Diepenveen (3); Rotterdam (3); Utrecht (2)
Calau,Russische,46,46,0,0,0,0,51.74667,13.94931,Amsterdam (3); Woerden (3); Roden (2)
Gera,Russische,46,46,0,0,0,0,50.87655,12.08327,Amsterdam (5); Haarlem (3); Losser (3)
Gotha,Russische,44,44,0,0,0,0,50.94948,10.70144,Hilversum (1); Utrecht (1); Amsterdam (1)
Ballenstedt,Russische,44,44,0,0,0,0,51.72253,11.22903,Assen (4); Vlissingen (4); Rotterdam (4)
Homburg,Franse,43,43,0,0,0,0,49.32146,7.3409,Bloemendaal (4); Utrecht (4); Sliedrecht (3)
Bogen,Amerikaanse,42,42,0,0,0,0,48.90828,12.71854,Veghel (7); Den Dungen (4); Zeist (2)
Oschatz,Russische,42,42,0,0,0,0,51.29796,13.10811,Rotterdam (1)
Meissen,Russische,40,40,0,0,0,0,51.16309,13.47049,Amsterdam (11); 's-Gravenhage (5); Leerdam (3)
Bitburg,Franse,40,40,0,0,0,0,49.97328,6.52495,Rotterdam (4); Amsterdam (4); Grootebroek (3)
Gardelegen,Russische,39,39,0,0,0,0,52.52694,11.39274,Rotterdam (5); Berghem (3)
Uberlingen,Franse,38,38,0,0,0,0,47.76645,9.16051,'s-Gravenhage (4); Rotterdam (3); Vught (1)
Schleusingen,Russische,38,38,0,0,0,0,50.54168,10.76696,Groningen (3); Renkum (3); Utrecht (2)
Schmalkalden,Russische,36,36,0,0,0,0,50.72136,10.45105,Rotterdam (13); Amsterdam (5); 's-Gravenhage (4)
Wittenberge,Russische,35,35,0,0,0,0,53.01129,11.73743,Amsterdam (7); Leeuwarden (4); Groningen (2)
Ueckermünde,Russische,35,35,0,0,0,0,53.73711,14.04589,Emmen (3); 's-Gravenhage (3); Brunssum (1)
Angermünde,Russische,35,35,0,0,0,0,53.01728,13.99815,Zutphen (6); Utrecht (2); Amsterdam (2)
Birkenfeld,Franse,34,34,0,0,0,0,49.64882,7.16475,Utrecht (3); Franeker (2); Rotterdam (1)
Bergzabern,Franse,34,34,0,0,0,0,49.10281,7.99913,Amsterdam (5); Leiden (2); Rotterdam (2)
Brandenburg An Der Havel,Russische,32,32,0,0,0,0,52.41083,12.54979,Amsterdam (6); Rotterdam (3); 's-Gravenhage (2)
Neubrandenburg,Russische,32,32,0,0,0,0,53.55745,13.26028,Linne (1)
Oelsnitz,Russische,32,32,0,0,0,0,50.41335,12.15907,Amsterdam (1); Hazerswoude (1)
Waldmünchen,Amerikaanse,31,31,0,0,0,0,49.37757,12.70621,Utrecht (10); Apeldoorn (6); Amsterdam (6)
Daun,Franse,31,31,0,0,0,0,50.19625,6.8305,Haarlemmermeer (2); Midwolda (2); Rotterdam (2)
Templin,Russische,30,30,0,0,0,0,53.11935,13.50056,Heerlen (3); Rotterdam (3); Schoonhoven (2)
